team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_values
Buffalo Sabres,7,Regular Season,2,Other,0,0,2011,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3953.0,1,0,0,0,82,39,high_danger_goals_for_per_60_minutes,1.381229445990387
Montreal Canadiens,8,Regular Season,2,Other,0,0,2011,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3766.0,1,0,0,0,82,31,high_danger_goals_for_per_60_minutes,1.2267657992565055
Ottawa Senators,9,Regular Season,2,Other,0,0,2011,1.5000000000000000,32,16,4,0.5,0.25,3849.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.3561964146531567
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2011,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3975.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.2528301886792452
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2011,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3902.0,1,0,0,0,82,33,high_danger_goals_for_per_60_minutes,1.1993849308047155
Florida Panthers,13,Regular Season,2,Other,0,0,2011,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3957.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,0.9704321455648218
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2011,0.09433962264150943396,32,16,3,0.5,0.1875,3919.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.6534830313855575
Washington Capitals,15,Regular Season,2,Other,0,0,2011,2.5714285714285714,50,33,1,0.66,0.030303031,3971.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.2843112566104256
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2011,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3964.0,1,0,0,0,82,45,high_danger_goals_for_per_60_minutes,1.3773965691220988
Detroit Red Wings,17,Regular Season,2,Other,0,0,2011,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3876.0,1,0,0,0,82,48,high_danger_goals_for_per_60_minutes,1.4705882352941178
Nashville Predators,18,Regular Season,2,Other,0,0,2011,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,4004.0,1,0,0,0,82,48,high_danger_goals_for_per_60_minutes,1.3186813186813187
St Louis Blues,19,Regular Season,2,Other,0,0,2011,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3854.0,1,0,0,0,82,49,high_danger_goals_for_per_60_minutes,1.2765957446808511
Calgary Flames,20,Regular Season,2,Other,0,0,2011,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3919.0,1,0,0,0,82,37,high_danger_goals_for_per_60_minutes,1.102322020923705
Colorado Avalanche,21,Regular Season,2,Other,0,0,2011,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3963.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.2869038607115821
Edmonton Oilers,22,Regular Season,2,Other,0,0,2011,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3863.0,1,0,0,0,82,32,high_danger_goals_for_per_60_minutes,1.2425575977219778
Vancouver Canucks,23,Regular Season,2,Other,0,0,2011,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3830.0,1,0,0,0,82,51,high_danger_goals_for_per_60_minutes,1.4725848563968669
Anaheim Ducks,24,Regular Season,2,Other,0,0,2011,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3907.0,1,0,0,0,82,34,high_danger_goals_for_per_60_minutes,1.4128487330432558
Dallas Stars,25,Regular Season,2,Other,0,0,2011,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3880.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.3144329896907216
Los Angeles Kings,26,Regular Season,2,Other,0,0,2011,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3801.0,1,0,0,0,82,40,high_danger_goals_for_per_60_minutes,0.994475138121547
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2011,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3962.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.5143866733972742
San Jose Sharks,28,Regular Season,2,Other,0,0,2011,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3989.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.338681373777889
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2011,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3810.0,1,0,0,0,82,29,high_danger_goals_for_per_60_minutes,1.3070866141732282
Minnesota Wild,30,Regular Season,2,Other,0,0,2011,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3879.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,0.974477958236659
Winnipeg Jets,52,Regular Season,2,Other,0,0,2011,-0.08333333333333333333,14,7,0,0.5,1.4285714e-10,3910.0,1,0,0,0,82,37,high_danger_goals_for_per_60_minutes,1.4424552429667519
New Jersey Devils,1,Regular Season,2,Other,0,0,2012,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,2246.0,1,0,0,0,48,19,high_danger_goals_for_per_60_minutes,0.8815672306322351
New York Islanders,2,Regular Season,2,Other,0,0,2012,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,2343.0,1,0,0,0,48,24,high_danger_goals_for_per_60_minutes,1.2804097311139564
New York Rangers,3,Regular Season,2,Other,0,0,2012,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,2329.0,1,0,0,0,48,26,high_danger_goals_for_per_60_minutes,1.468441391155002
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2012,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,2200.0,1,0,0,0,48,23,high_danger_goals_for_per_60_minutes,1.5
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2012,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,2259.0,1,0,0,0,48,36,high_danger_goals_for_per_60_minutes,1.4342629482071714
Boston Bruins,6,Regular Season,2,Other,0,0,2012,3.8333333333333333,100,77,6,0.77,0.077922076,2320.0,1,0,0,0,48,28,high_danger_goals_for_per_60_minutes,1.5
Buffalo Sabres,7,Regular Season,2,Other,0,0,2012,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,2231.0,1,0,0,0,48,21,high_danger_goals_for_per_60_minutes,1.2371134020618557
Montreal Canadiens,8,Regular Season,2,Other,0,0,2012,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,2194.0,1,0,0,0,48,29,high_danger_goals_for_per_60_minutes,1.586144029170465
Ottawa Senators,9,Regular Season,2,Other,0,0,2012,1.5000000000000000,32,16,4,0.5,0.25,2270.0,1,0,0,0,48,25,high_danger_goals_for_per_60_minutes,1.0044052863436124
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2012,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,2268.0,1,0,0,0,48,26,high_danger_goals_for_per_60_minutes,1.6137566137566137
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2012,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,2278.0,1,0,0,0,48,19,high_danger_goals_for_per_60_minutes,1.4223002633889377
Florida Panthers,13,Regular Season,2,Other,0,0,2012,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,2338.0,1,0,0,0,48,15,high_danger_goals_for_per_60_minutes,0.9495295124037639
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2012,0.09433962264150943396,32,16,3,0.5,0.1875,2280.0,1,0,0,0,48,18,high_danger_goals_for_per_60_minutes,1.7894736842105263
Washington Capitals,15,Regular Season,2,Other,0,0,2012,2.5714285714285714,50,33,1,0.66,0.030303031,2288.0,1,0,0,0,48,27,high_danger_goals_for_per_60_minutes,1.048951048951049
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2012,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,2316.0,1,0,0,0,48,36,high_danger_goals_for_per_60_minutes,1.4766839378238341
Detroit Red Wings,17,Regular Season,2,Other,0,0,2012,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,2250.0,1,0,0,0,48,24,high_danger_goals_for_per_60_minutes,1.2
Nashville Predators,18,Regular Season,2,Other,0,0,2012,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,2345.0,1,0,0,0,48,16,high_danger_goals_for_per_60_minutes,1.2025586353944564
St Louis Blues,19,Regular Season,2,Other,0,0,2012,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,2301.0,1,0,0,0,48,29,high_danger_goals_for_per_60_minutes,1.0951760104302477
Calgary Flames,20,Regular Season,2,Other,0,0,2012,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,2319.0,1,0,0,0,48,19,high_danger_goals_for_per_60_minutes,1.4489003880983182
Colorado Avalanche,21,Regular Season,2,Other,0,0,2012,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,2282.0,1,0,0,0,48,16,high_danger_goals_for_per_60_minutes,1.3146362839614374
Edmonton Oilers,22,Regular Season,2,Other,0,0,2012,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,2239.0,1,0,0,0,48,19,high_danger_goals_for_per_60_minutes,1.1255024564537741
Vancouver Canucks,23,Regular Season,2,Other,0,0,2012,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,2254.0,1,0,0,0,48,26,high_danger_goals_for_per_60_minutes,1.277728482697427
Anaheim Ducks,24,Regular Season,2,Other,0,0,2012,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,2337.0,1,0,0,0,48,30,high_danger_goals_for_per_60_minutes,1.668806161745828
Dallas Stars,25,Regular Season,2,Other,0,0,2012,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,2232.0,1,0,0,0,48,22,high_danger_goals_for_per_60_minutes,1.4516129032258065
Los Angeles Kings,26,Regular Season,2,Other,0,0,2012,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,2279.0,1,0,0,0,48,27,high_danger_goals_for_per_60_minutes,1.0794207985958755
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2012,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,2263.0,1,0,0,0,48,21,high_danger_goals_for_per_60_minutes,1.246133451171012
San Jose Sharks,28,Regular Season,2,Other,0,0,2012,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,2306.0,1,0,0,0,48,25,high_danger_goals_for_per_60_minutes,1.0667823070251519
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2012,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,2294.0,1,0,0,0,48,24,high_danger_goals_for_per_60_minutes,1.2031386224934613
Minnesota Wild,30,Regular Season,2,Other,0,0,2012,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,2307.0,1,0,0,0,48,26,high_danger_goals_for_per_60_minutes,1.2483745123537062
Winnipeg Jets,52,Regular Season,2,Other,0,0,2012,-0.08333333333333333333,14,7,0,0.5,1.4285714e-10,2355.0,1,0,0,0,48,24,high_danger_goals_for_per_60_minutes,1.4522292993630572
New Jersey Devils,1,Regular Season,2,Other,0,0,2013,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3942.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.0502283105022832
New York Islanders,2,Regular Season,2,Other,0,0,2013,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3907.0,1,0,0,0,82,34,high_danger_goals_for_per_60_minutes,1.3207064243665216
New York Rangers,3,Regular Season,2,Other,0,0,2013,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3936.0,1,0,0,0,82,45,high_danger_goals_for_per_60_minutes,1.2195121951219512
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2013,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3738.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.1556982343499198
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2013,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3905.0,1,0,0,0,82,51,high_danger_goals_for_per_60_minutes,1.290653008962868
Boston Bruins,6,Regular Season,2,Other,0,0,2013,3.8333333333333333,100,77,6,0.77,0.077922076,3989.0,1,0,0,0,82,54,high_danger_goals_for_per_60_minutes,1.4890950112810228
Buffalo Sabres,7,Regular Season,2,Other,0,0,2013,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3890.0,1,0,0,0,82,21,high_danger_goals_for_per_60_minutes,0.9408740359897172
Montreal Canadiens,8,Regular Season,2,Other,0,0,2013,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3818.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.2729177579884756
Ottawa Senators,9,Regular Season,2,Other,0,0,2013,1.5000000000000000,32,16,4,0.5,0.25,3812.0,1,0,0,0,82,37,high_danger_goals_for_per_60_minutes,1.2749213011542497
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2013,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3914.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.0730710270822688
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2013,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3932.0,1,0,0,0,82,36,high_danger_goals_for_per_60_minutes,0.930824008138352
Florida Panthers,13,Regular Season,2,Other,0,0,2013,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3914.0,1,0,0,0,82,29,high_danger_goals_for_per_60_minutes,1.2110373019928462
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2013,0.09433962264150943396,32,16,3,0.5,0.1875,3878.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.253223310985044
Washington Capitals,15,Regular Season,2,Other,0,0,2013,2.5714285714285714,50,33,1,0.66,0.030303031,3878.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.1603919546157813
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2013,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3994.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.7576364546820231
Detroit Red Wings,17,Regular Season,2,Other,0,0,2013,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3854.0,1,0,0,0,82,39,high_danger_goals_for_per_60_minutes,1.2454592631032693
Nashville Predators,18,Regular Season,2,Other,0,0,2013,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,4001.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.4846288427893026
St Louis Blues,19,Regular Season,2,Other,0,0,2013,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3833.0,1,0,0,0,82,52,high_danger_goals_for_per_60_minutes,1.2366292721106182
Calgary Flames,20,Regular Season,2,Other,0,0,2013,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3989.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.0980195537728754
Colorado Avalanche,21,Regular Season,2,Other,0,0,2013,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3954.0,1,0,0,0,82,52,high_danger_goals_for_per_60_minutes,1.4415781487101669
Edmonton Oilers,22,Regular Season,2,Other,0,0,2013,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3838.0,1,0,0,0,82,29,high_danger_goals_for_per_60_minutes,1.2037519541427828
Vancouver Canucks,23,Regular Season,2,Other,0,0,2013,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3881.0,1,0,0,0,82,36,high_danger_goals_for_per_60_minutes,1.1285751095078589
Anaheim Ducks,24,Regular Season,2,Other,0,0,2013,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3858.0,1,0,0,0,82,54,high_danger_goals_for_per_60_minutes,1.8351477449455678
Dallas Stars,25,Regular Season,2,Other,0,0,2013,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3861.0,1,0,0,0,82,40,high_danger_goals_for_per_60_minutes,1.522921522921523
Los Angeles Kings,26,Regular Season,2,Other,0,0,2013,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3807.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.1662726556343577
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2013,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3907.0,1,0,0,0,82,37,high_danger_goals_for_per_60_minutes,1.1364218070130534
San Jose Sharks,28,Regular Season,2,Other,0,0,2013,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3954.0,1,0,0,0,82,51,high_danger_goals_for_per_60_minutes,1.5022761760242793
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2013,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3837.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.3917122752150117
Minnesota Wild,30,Regular Season,2,Other,0,0,2013,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3938.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.1884205180294565
Winnipeg Jets,52,Regular Season,2,Other,0,0,2013,-0.08333333333333333333,14,7,0,0.5,1.4285714e-10,3880.0,1,0,0,0,82,37,high_danger_goals_for_per_60_minutes,1.3298969072164948
New Jersey Devils,1,Regular Season,2,Other,0,0,2014,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3956.0,1,0,0,0,82,32,high_danger_goals_for_per_60_minutes,0.8948432760364005
New York Islanders,2,Regular Season,2,Other,0,0,2014,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,4003.0,1,0,0,0,82,47,high_danger_goals_for_per_60_minutes,1.5588308768423682
New York Rangers,3,Regular Season,2,Other,0,0,2014,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,4010.0,1,0,0,0,82,53,high_danger_goals_for_per_60_minutes,1.6758104738154613
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2014,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3929.0,1,0,0,0,82,33,high_danger_goals_for_per_60_minutes,1.1911427844235174
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2014,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3860.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.3523316062176165
Boston Bruins,6,Regular Season,2,Other,0,0,2014,3.8333333333333333,100,77,6,0.77,0.077922076,4033.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.1753037441110836
Buffalo Sabres,7,Regular Season,2,Other,0,0,2014,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3997.0,1,0,0,0,82,23,high_danger_goals_for_per_60_minutes,1.065799349512134
Montreal Canadiens,8,Regular Season,2,Other,0,0,2014,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3934.0,1,0,0,0,82,50,high_danger_goals_for_per_60_minutes,1.128622267412303
Ottawa Senators,9,Regular Season,2,Other,0,0,2014,1.5000000000000000,32,16,4,0.5,0.25,3865.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.4592496765847347
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2014,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3853.0,1,0,0,0,82,30,high_danger_goals_for_per_60_minutes,1.0744874124059174
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2014,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,4042.0,1,0,0,0,82,30,high_danger_goals_for_per_60_minutes,1.0390895596239484
Florida Panthers,13,Regular Season,2,Other,0,0,2014,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3947.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.231314922726121
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2014,0.09433962264150943396,32,16,3,0.5,0.1875,3861.0,1,0,0,0,82,50,high_danger_goals_for_per_60_minutes,1.6317016317016317
Washington Capitals,15,Regular Season,2,Other,0,0,2014,2.5714285714285714,50,33,1,0.66,0.030303031,3922.0,1,0,0,0,82,45,high_danger_goals_for_per_60_minutes,1.1320754716981132
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2014,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3999.0,1,0,0,0,82,48,high_danger_goals_for_per_60_minutes,1.2603150787696924
Detroit Red Wings,17,Regular Season,2,Other,0,0,2014,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3826.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.207527443805541
Nashville Predators,18,Regular Season,2,Other,0,0,2014,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3951.0,1,0,0,0,82,47,high_danger_goals_for_per_60_minutes,1.4274867122247532
St Louis Blues,19,Regular Season,2,Other,0,0,2014,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3941.0,1,0,0,0,82,51,high_danger_goals_for_per_60_minutes,1.157066734331388
Calgary Flames,20,Regular Season,2,Other,0,0,2014,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,4019.0,1,0,0,0,82,45,high_danger_goals_for_per_60_minutes,1.2391142075143071
Colorado Avalanche,21,Regular Season,2,Other,0,0,2014,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3949.0,1,0,0,0,82,39,high_danger_goals_for_per_60_minutes,1.3066599139022537
Edmonton Oilers,22,Regular Season,2,Other,0,0,2014,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,4068.0,1,0,0,0,82,24,high_danger_goals_for_per_60_minutes,1.12094395280236
Vancouver Canucks,23,Regular Season,2,Other,0,0,2014,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3925.0,1,0,0,0,82,48,high_danger_goals_for_per_60_minutes,1.3452229299363057
Anaheim Ducks,24,Regular Season,2,Other,0,0,2014,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3949.0,1,0,0,0,82,51,high_danger_goals_for_per_60_minutes,1.3674347936186377
Dallas Stars,25,Regular Season,2,Other,0,0,2014,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3861.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.4296814296814297
Los Angeles Kings,26,Regular Season,2,Other,0,0,2014,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3975.0,1,0,0,0,82,40,high_danger_goals_for_per_60_minutes,1.3283018867924528
San Jose Sharks,28,Regular Season,2,Other,0,0,2014,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,4001.0,1,0,0,0,82,40,high_danger_goals_for_per_60_minutes,1.139715071232192
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2014,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3867.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.3033359193173002
Minnesota Wild,30,Regular Season,2,Other,0,0,2014,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3939.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.5841584158415842
Winnipeg Jets,52,Regular Season,2,Other,0,0,2014,-0.08333333333333333333,14,7,0,0.5,1.4285714e-10,3807.0,1,0,0,0,82,43,high_danger_goals_for_per_60_minutes,1.355397951142632
Arizona Coyotes,53,Regular Season,2,Other,0,1,2014,0.37500000000000000000,10,1,0,0.1,1e-09,3963.0,1,0,0,0,82,24,high_danger_goals_for_per_60_minutes,0.7115821347464042
New Jersey Devils,1,Regular Season,2,Other,0,0,2015,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3875.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.0529032258064517
New York Islanders,2,Regular Season,2,Other,0,0,2015,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,4013.0,1,0,0,0,82,45,high_danger_goals_for_per_60_minutes,1.3157238973336656
New York Rangers,3,Regular Season,2,Other,0,0,2015,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3995.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.471839799749687
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2015,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3851.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.2152687613606856
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2015,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3904.0,1,0,0,0,82,48,high_danger_goals_for_per_60_minutes,1.3985655737704918
Boston Bruins,6,Regular Season,2,Other,0,0,2015,3.8333333333333333,100,77,6,0.77,0.077922076,3945.0,1,0,0,0,82,42,high_danger_goals_for_per_60_minutes,1.4448669201520912
Buffalo Sabres,7,Regular Season,2,Other,0,0,2015,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3993.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.0668670172802404
Montreal Canadiens,8,Regular Season,2,Other,0,0,2015,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3915.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.1647509578544062
Ottawa Senators,9,Regular Season,2,Other,0,0,2015,1.5000000000000000,32,16,4,0.5,0.25,3960.0,1,0,0,0,82,38,high_danger_goals_for_per_60_minutes,1.1666666666666667
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2015,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3866.0,1,0,0,0,82,29,high_danger_goals_for_per_60_minutes,1.0863942058975686
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2015,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,4035.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.0855018587360594
Florida Panthers,13,Regular Season,2,Other,0,0,2015,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3864.0,1,0,0,0,82,47,high_danger_goals_for_per_60_minutes,1.3043478260869565
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2015,0.09433962264150943396,32,16,3,0.5,0.1875,3825.0,1,0,0,0,82,46,high_danger_goals_for_per_60_minutes,1.1294117647058823
Washington Capitals,15,Regular Season,2,Other,0,0,2015,2.5714285714285714,50,33,1,0.66,0.030303031,3939.0,1,0,0,0,82,56,high_danger_goals_for_per_60_minutes,1.4927646610814929
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2015,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3989.0,1,0,0,0,82,47,high_danger_goals_for_per_60_minutes,1.1130609175231887
Detroit Red Wings,17,Regular Season,2,Other,0,0,2015,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3861.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.0567210567210568
Nashville Predators,18,Regular Season,2,Other,0,0,2015,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3920.0,1,0,0,0,82,41,high_danger_goals_for_per_60_minutes,1.1326530612244898
St Louis Blues,19,Regular Season,2,Other,0,0,2015,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3908.0,1,0,0,0,82,49,high_danger_goals_for_per_60_minutes,1.1975435005117707
Calgary Flames,20,Regular Season,2,Other,0,0,2015,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3965.0,1,0,0,0,82,35,high_danger_goals_for_per_60_minutes,1.3165195460277428
